,Price
0,100.0
1,100.31998008298024
2,100.46045320631596
3,100.66569424761958
4,101.0923081360392
5,101.16540970474746
6,101.33928931012686
7,101.28470701820851
8,101.24248514105724
9,101.28420354076744
10,101.35999442405722
11,101.6484141077869
12,101.68588193749805
13,101.85513753648823
14,102.21519401915343
15,101.97775835946285
16,102.36922299367005
17,102.68558447273475
18,102.78509873338284
19,102.86857717276166
20,103.26986633728431
21,103.6384464850689
22,103.97795830540153
23,104.14753693323397
24,104.72027986887244
25,105.0350064242158
26,105.04191630322377
27,105.31387753865162
28,105.67828988093459
29,105.58605848992752
30,105.49981610306318
31,105.68301175181256
32,105.40204792856834
33,105.24799122313387
34,105.29599021656774
35,105.40367568226002
36,105.28945681560961
37,105.18909907697106
38,105.40711768478907
39,105.54411563891567
40,105.42092041850933
41,105.64426800247337
42,105.54894426876845
43,105.35116521181719
44,105.67960282960273
45,105.95330317247102
46,106.18154716732845
47,106.17860366644261
48,105.96349825771517
49,106.19902728430175
50,106.37098099742377
51,106.40254546438433
52,106.639905189552
53,106.45508788081702
54,106.61532819234375
55,106.93833888665509
56,107.15506008539707
57,107.80611420760961
58,108.21710748841575
59,108.33512147596873
